,state,zipcode,total_income
230,AL,35078,7604.0
231,AL,35078,7180.0
232,AL,35078,13929.0
233,AL,35078,11757.0001
234,AL,35079,14616.0
235,AL,35079,32408.0
236,AL,35079,42168.0
237,AL,35079,41380.0
238,AL,35079,66672.0
239,AL,35079,18592.0001
240,AL,35080,25505.0
241,AL,35080,60054.0
242,AL,35080,81214.0
243,AL,35080,89226.0
244,AL,35080,288152.0
245,AL,35080,128376.0
246,AL,35083,5551.0
247,AL,35083,12504.0
248,AL,35083,13148.0
249,AL,35083,10278.0
250,AL,35083,20374.0
252,AL,35085,17231.0
253,AL,35085,35503.0
254,AL,35085,31184.0
255,AL,35085,28115.0
256,AL,35085,46697.0
257,AL,35085,13919.0001
258,AL,35087,4859.0
259,AL,35087,9491.0
260,AL,35087,7638.0
261,AL,35087,5173.0001
262,AL,35087,12396.0
264,AL,35089,5010.0
265,AL,35089,8812.0
266,AL,35089,5238.0
267,AL,35089,3750.0001
268,AL,35089,4553.0001
270,AL,35091,3972.0
271,AL,35091,9332.0
272,AL,35091,12772.0
273,AL,35091,17736.0
274,AL,35091,47927.0
275,AL,35091,12519.0001
276,AL,35094,27894.0
277,AL,35094,60577.0
278,AL,35094,62532.0
279,AL,35094,57816.0
280,AL,35094,112430.0
281,AL,35094,76837.0
282,AL,35096,16259.0
283,AL,35096,36467.0
284,AL,35096,37389.0
285,AL,35096,32448.0
286,AL,35096,53055.0
287,AL,35096,23617.0
288,AL,35097,3118.0
289,AL,35097,7555.0001
290,AL,35097,7907.0
291,AL,35097,7527.0
292,AL,35097,14590.0
294,AL,35098,2873.0
295,AL,35098,5711.0
296,AL,35098,5836.0
297,AL,35098,4255.0
298,AL,35098,7652.0001
300,AL,35111,24974.0
301,AL,35111,62932.0
302,AL,35111,81823.0
303,AL,35111,84589.0
304,AL,35111,194277.0
305,AL,35111,57519.0
306,AL,35114,10977.0
307,AL,35114,23944.0
308,AL,35114,31359.0
309,AL,35114,32371.0
310,AL,35114,95669.0
311,AL,35114,36137.0
312,AL,35115,29180.0
313,AL,35115,55000.0
314,AL,35115,49203.0
315,AL,35115,37116.0
316,AL,35115,70788.0
317,AL,35115,34390.0
318,AL,35116,7465.0
319,AL,35116,16823.0
320,AL,35116,20541.0
321,AL,35116,20226.0
322,AL,35116,55204.0
323,AL,35116,22606.0
324,AL,35117,8860.0
325,AL,35117,24786.0
326,AL,35117,28978.0
327,AL,35117,33589.0
328,AL,35117,71369.0
329,AL,35117,25444.0
330,AL,35118,6204.0
331,AL,35118,14408.0
332,AL,35118,12291.0
333,AL,35118,11020.0
334,AL,35118,26633.0
336,AL,35120,27135.0
337,AL,35120,64519.0
338,AL,35120,73803.0
339,AL,35120,67172.0
340,AL,35120,121389.0
341,AL,35120,44687.0
342,AL,35121,27516.0
343,AL,35121,60114.0
344,AL,35121,57298.0
345,AL,35121,46471.0
346,AL,35121,91764.0
347,AL,35121,67428.0
348,AL,35124,40367.0
349,AL,35124,96562.0
350,AL,35124,115448.0
351,AL,35124,114538.0
