state,zip_code,total_income
AL,35118,14408
AL,35118,12291
AL,35118,11020
AL,35118,26633
AL,35120,27135
AL,35120,64519
AL,35120,73803
AL,35120,67172
AL,35120,121389
AL,35120,44687
AL,35121,27516
AL,35121,60114
AL,35121,57298
AL,35121,46471
AL,35121,91764
AL,35121,67428
AL,35124,40367
AL,35124,96562
AL,35124,115448
AL,35124,114538
AL,35124,336249
AL,35124,314342
AL,35125,22591
AL,35125,46173
AL,35125,43109
AL,35125,36721
AL,35125,48143
AL,35125,19880
AL,35126,40328
AL,35126,100134
AL,35126,105973
AL,35126,91455
AL,35126,157255
AL,35126,35874
AL,35127,19513
AL,35127,51162
AL,35127,50497
AL,35127,35505
AL,35127,60576
AL,35127,15530
AL,35128,17674
AL,35128,37472
AL,35128,43298
AL,35128,40569
AL,35128,97369
AL,35128,65928
AL,35130,5802
AL,35130,12719
AL,35130,12177
AL,35130,12303
AL,35130,16386
AL,35131,7909
AL,35131,15425
AL,35131,16213
AL,35131,12754
AL,35131,18170
AL,35133,7121
AL,35133,15081
AL,35133,17882
AL,35133,17892
AL,35133,29600
AL,35135,3691
AL,35135,7413
AL,35135,8095
AL,35135,8689
AL,35135,22554
AL,35136,2950
AL,35136,6217
AL,35136,6842
AL,35136,6638
AL,35136,13237
AL,35143,5750
AL,35143,11373
AL,35143,11145
AL,35143,12408
AL,35143,24174
AL,35143,25651
AL,35146,15802
AL,35146,39616
AL,35146,47817
AL,35146,51912
AL,35146,129618
AL,35146,65238
AL,35147,7608
AL,35147,17951
AL,35147,26650
AL,35147,25857
AL,35147,61643
AL,35147,61247
AL,35148,5978
AL,35148,11047
AL,35148,9522
AL,35148,8987
AL,35148,17241
AL,35150,40920
AL,35150,73782
AL,35150,56087
AL,35150,46542
AL,35150,69140
AL,35150,31559
AL,35151,14113
AL,35151,27417
AL,35151,32231
AL,35151,26432
AL,35151,48090
AL,35151,13740
AL,35160,56880
AL,35160,104895
AL,35160,84338
AL,35160,58129
AL,35160,84628
AL,35160,49647
AL,35171,5546
AL,35171,13923
AL,35171,12607
AL,35171,13767
AL,35171,26329
AL,35171,6323
AL,35172,5321
AL,35172,11974
AL,35172,11884
AL,35172,8654
AL,35172,15621
AL,35173,37724
AL,35173,87559
AL,35173,118825
AL,35173,137195
AL,35173,480567
AL,35173,380141
AL,35175,8572
AL,35175,20166
AL,35175,21507
AL,35175,18351
AL,35175,44675
AL,35175,22832
AL,35176,1706
AL,35176,3658
AL,35176,3270
AL,35176,2846
AL,35176,5670
AL,35178,7563
AL,35178,15729
AL,35178,14683
AL,35178,11790
AL,35178,21006
AL,35178,6489
AL,35179,18052
AL,35179,37759
AL,35179,38696
AL,35179,32690
AL,35179,57311
AL,35179,34281
AL,35180,20803
AL,35180,51203
AL,35180,62794
AL,35180,61934
AL,35180,120566
AL,35180,39369
AL,35183,1266
AL,35183,2964
AL,35183,2287
AL,35183,2561
AL,35183,4600
AL,35184,10033
AL,35184,25339
AL,35184,21175
AL,35184,19294
AL,35184,25119
AL,35184,5379
AL,35186,7972
AL,35186,16544
AL,35186,19964
AL,35186,19575
AL,35186,59884
AL,35186,37264
AL,35188,4574
AL,35188,9864
AL,35188,12254
AL,35188,13444
AL,35188,28624
AL,35203,6702
AL,35203,10851
AL,35203,12637
AL,35203,9578
AL,35203,23524
AL,35203,125644
AL,35204,29374
AL,35204,33926
AL,35204,15374
AL,35204,7395
AL,35204,6248
AL,35205,39333
AL,35205,92673
AL,35205,65498
AL,35205,36828
AL,35205,72845
AL,35205,203984
AL,35206,48080
AL,35206,71589
AL,35206,41419
AL,35206,25333
AL,35206,25445
AL,35206,7629
AL,35207,26617
AL,35207,33615
AL,35207,15317
AL,35207,7538
AL,35207,7301
AL,35208,43942
AL,35208,63966
AL,35208,31267
AL,35208,13025
AL,35208,12610
AL,35209,43196
AL,35209,95971
AL,35209,87641
AL,35209,73857
AL,35209,273282
AL,35209,721729
AL,35210,28763
AL,35210,69712
AL,35210,73929
AL,35210,55863
AL,35210,118592
AL,35210,142683
AL,35211,76235
AL,35211,108609
AL,35211,63554
AL,35211,32424
AL,35211,41826
AL,35211,16156
AL,35212,33738
AL,35212,39786
AL,35212,28508
AL,35212,19033
AL,35212,41086
AL,35212,24144
AL,35213,15190
AL,35213,37597
AL,35213,53562
AL,35213,46290
AL,35213,179112
AL,35213,1461974
AL,35214,52118
AL,35214,101505
AL,35214,72265
AL,35214,41607
AL,35214,55484
AL,35214,7046
AL,35215,141180
AL,35215,234903
AL,35215,145251
AL,35215,82506
AL,35215,99704
AL,35215,18066
AL,35216,61013
AL,35216,143906
AL,35216,132827
AL,35216,110501
AL,35216,365505
AL,35216,837709
AL,35217,37200
AL,35217,55481
AL,35217,30019
AL,35217,19012
AL,35217,24368
AL,35217,8288
AL,35218,20543
AL,35218,26846
AL,35218,11743
AL,35218,4229
AL,35218,3371
AL,35221,13654
AL,35221,18945
AL,35221,9534
AL,35221,6711
