"rank","name","usps","pop2022","pop2010","growth","density","aland_sqmi"
"99","Norfolk","VA","237045","242803","-0.0237","4449","53.2750"
"100","Fremont","CA","233788","214089","0.0920","3018","77.4650"
"101","Spokane","WA","233003","208916","0.1153","3389","68.7590"
"102","Richmond","VA","231090","204214","0.1316","3856","59.9230"
"103","Baton Rouge","LA","227066","229493","-0.0106","2627","86.4490"
"104","San Bernardino","CA","224537","209924","0.0696","3615","62.1080"
"105","Tacoma","WA","223536","198397","0.1267","4492","49.7590"
"106","Spring Valley","NV","223037","178395","0.2502","6707","33.2530"
"107","Hialeah","FL","222797","224669","-0.0083","10324","21.5810"
"108","Huntsville","AL","221986","180105","0.2325","1036","214.3630"
"109","Modesto","CA","221924","201165","0.1032","5164","42.9770"
"110","Frisco","TX","217213","116989","0.8567","3188","68.1250"
"111","Des Moines","IA","216273","203433","0.0631","2453","88.1800"
"112","Yonkers","NY","214687","195976","0.0955","11919","18.0120"
"113","Port St. Lucie","FL","212901","164603","0.2934","1786","119.2020"
"114","Moreno Valley","CA","211688","193365","0.0948","4130","51.2570"
"115","Worcester","MA","211612","181045","0.1688","5664","37.3600"
"116","Rochester","NY","211480","210565","0.0043","5913","35.7660"
"117","Fontana","CA","210857","196069","0.0754","4895","43.0720"
"118","Columbus","GA","210330","189885","0.1077","972","216.4790"
"119","Fayetteville","NC","210089","200564","0.0475","1421","147.8470"
"120","Sunrise Manor","NV","208868","189372","0.1030","6258","33.3760"
"121","McKinney","TX","208146","131117","0.5875","3109","66.9400"
"122","Little Rock","AR","204405","193524","0.0562","1703","119.9920"
"123","Augusta","GA","203329","195844","0.0382","673","302.2740"
"124","Oxnard","CA","202895","197899","0.0252","7648","26.5280"
"125","Salt Lake City","UT","202379","186440","0.0855","1828","110.6980"
"126","Amarillo","TX","202333","190695","0.0610","1989","101.7440"
"127","Overland Park","KS","202012","173372","0.1652","2687","75.1800"
"128","Cape Coral","FL","201958","154305","0.3088","1906","105.9480"
"129","Grand Rapids","MI","201093","188040","0.0694","4493","44.7560"
"130","Huntington Beach","CA","200455","189992","0.0551","7423","27.0030"
"131","Sioux Falls","SD","200243","153888","0.3012","2560","78.2290"
"132","Grand Prairie","TX","200240","175396","0.1416","2771","72.2550"
"133","Montgomery","AL","199571","205764","-0.0301","1248","159.8820"
"134","Tallahassee","FL","199127","181376","0.0979","1982","100.4740"
"135","Birmingham","AL","198433","212237","-0.0650","1358","146.0760"
"136","Peoria","AZ","198369","154065","0.2876","1127","175.9890"
"137","Glendale","CA","197507","191719","0.0302","6482","30.4710"
"138","Vancouver","WA","196739","161791","0.2160","4036","48.7440"
"139","Providence","RI","193512","178042","0.0869","10514","18.4060"
"140","Knoxville","TN","193114","178874","0.0796","1956","98.7130"
"141","Brownsville","TX","189082","175023","0.0803","1429","132.3220"
"142","Akron","OH","188741","199110","-0.0521","3048","61.9330"
"143","Newport News","VA","187353","180719","0.0367","2716","68.9920"
"144","Fort Lauderdale","FL","186208","165521","0.1250","5384","34.5860"
"145","Mobile","AL","185427","195111","-0.0496","1330","139.4650"
"146","Shreveport","LA","185249","199311","-0.0706","1725","107.3610"
"147","Paradise","NV","184852","223167","-0.1717","3956","46.7320"
"148","Tempe","AZ","184361","161719","0.1400","4612","39.9770"
"149","Chattanooga","TN","183783","167674","0.0961","1286","142.9630"
"150","Cary","NC","182619","135234","0.3504","3110","58.7250"
"151","Eugene","OR","180748","156185","0.1573","4095","44.1380"
"152","Elk Grove","CA","180746","153015","0.1812","4300","42.0330"
"153","Santa Rosa","CA","180189","167815","0.0737","4238","42.5190"
"154","Salem","OR","179715","154637","0.1622","3691","48.6910"
"155","Ontario","CA","177533","163924","0.0830","3553","49.9630"
"156","Aurora","IL","177070","197899","-0.1053","3934","45.0090"
"157","Lancaster","CA","176892","156633","0.1293","1876","94.2810"
"158","Rancho Cucamonga","CA","176289","165269","0.0667","4394","40.1170"
"159","Oceanside","CA","175464","167086","0.0501","4253","41.2560"
"160","Fort Collins","CO","174974","143986","0.2152","3060","57.1820"
"161","Pembroke Pines","FL","174464","154750","0.1274","5340","32.6730"
"162","Clarksville","TN","173480","132929","0.3051","1756","98.7960"
"163","Palmdale","CA","172790","152750","0.1312","1629","106.0760"
"164","Garden Grove","CA","172163","170883","0.0075","9588","17.9570"
"165","Springfield","MO","171112","159498","0.0728","2077","82.3920"
"166","Hayward","CA","166708","144186","0.1562","3661","45.5370"
"167","Salinas","CA","166162","150441","0.1045","7092","23.4280"
"168","Alexandria","VA","163367","139966","0.1672","10939","14.9340"
"169","Paterson","NJ","162438","146199","0.1111","19308","8.4130"
"170","Murfreesboro","TN","161571","108755","0.4856","2618","61.7090"
"171","Bayamon","PR","161242","185996","-0.1331","5977","26.9780"
"172","Sunnyvale","CA","158949","140081","0.1347","7215","22.0300"
"173","Kansas City","KS","158771","145786","0.0891","1272","124.8150"
"174","Lakewood","CO","158584","142980","0.1091","3684","43.0470"
"175","Killeen","TX","158129","127921","0.2361","2899","54.5450"
"176","Corona","CA","158088","152374","0.0375","3954","39.9860"
"177","Bellevue","WA","157752","122363","0.2892","4715","33.4610"
"178","Springfield","MA","156503","153060","0.0225","4911","31.8690"
"179","Charleston","SC","156255","120083","0.3012","1413","110.5540"
"180","Hollywood","FL","155527","140768","0.1048","5703","27.2690"
"181","Roseville","CA","153569","118788","0.2928","3484","44.0790"
"182","Pasadena","TX","152532","149043","0.0234","3500","43.5860"
"183","Escondido","CA","152464","143911","0.0594","4086","37.3140"
"184","Pomona","CA","152245","149058","0.0214","6625","22.9820"
"185","Mesquite","TX","152164","139824","0.0883","3220","47.2520"
"186","Naperville","IL","151078","141853","0.0650","3893","38.8110"
"187","Joliet","IL","150948","147433","0.0238","2353","64.1520"
"188","Savannah","GA","150078","136286","0.1012","1444","103.9100"
"189","Jackson","MS","149739","173514","-0.1370","1348","111.0860"
"190","Bridgeport","CT","149538","144229","0.0368","9309","16.0640"
"191","Syracuse","NY","149310","145170","0.0285","5965","25.0300"
"192","Surprise","AZ","148274","117517","0.2617","1372","108.0630"
"193","Rockford","IL","147811","152871","-0.0331","2296","64.3790"
"194","Torrance","CA","147393","145438","0.0134","7183","20.5210"
"195","Thornton","CO","146487","118772","0.2333","4081","35.8910"
"196","Kent","WA","145424","92411","0.5737","4309","33.7500"
"197","Fullerton","CA","145309","135161","0.0751","6478","22.4310"
"198","Denton","TX","145167","113383","0.2803","1508","96.2360"
"199","Visalia","CA","144772","124442","0.1634","3817","37.9240"
"200","McAllen","TX","144676","129877","0.1139","2202","65.6980"
